class_index,category_id,species_name,precision,recall,f1,support,correct_predictions
279,5168,Testudo graeca,0.8181818181818182,0.9,0.8571428571428571,10,9
280,5180,Isactinia olivacea,0.7,0.7,0.7,10,7
281,5183,Urticina grebelnyi,0.8888888888888888,0.8,0.8421052631578947,10,8
282,5279,Cominella adspersa,0.7777777777777778,0.7,0.7368421052631579,10,7
283,5310,Aphelodoris varia,1.0,0.9,0.9473684210526315,10,9
284,5313,Pteraeolidia ianthina,0.7777777777777778,0.7,0.7368421052631579,10,7
285,5344,Haplotrema vancouverense,0.8,0.8,0.8,10,8
286,5378,Megastraea undosa,0.5555555555555556,0.5,0.5263157894736842,10,5
287,5409,Flavopunctelia flaventior,0.875,0.7,0.7777777777777778,10,7
288,5413,Letharia vulpina,0.5333333333333333,0.8,0.64,10,8
289,5425,Ramalina menziesii,0.8333333333333334,0.5,0.625,10,5
290,5442,Xanthomendoza fallax,0.875,0.7,0.7777777777777778,10,7
291,5464,Urnula craterium,0.7142857142857143,1.0,0.8333333333333334,10,10
292,5491,Amanita fulva,0.875,0.7,0.7777777777777778,10,7
293,5514,Laccaria amethystina,0.6666666666666666,0.6,0.631578947368421,10,6
294,5539,Mycena pura,0.7,0.7,0.7,10,7
295,5559,Volvopluteus gloiocephalus,0.8333333333333334,1.0,0.9090909090909091,10,10
296,5573,Psathyrella candolleana,0.8,0.8,0.8,10,8
297,5574,Schizophyllum commune,0.8571428571428571,0.6,0.7058823529411765,10,6
298,5617,Suillus luteus,0.6923076923076923,0.9,0.782608695652174,10,9
299,5635,Inonotus obliquus,0.75,0.9,0.8181818181818182,10,9
300,5663,Phaeolus schweinitzii,0.7272727272727273,0.8,0.7619047619047619,10,8
301,5718,Calocera viscosa,0.9090909090909091,1.0,0.9523809523809523,10,10
302,5728,Tremella mesenterica,0.7142857142857143,1.0,0.8333333333333334,10,10
303,5753,Neckera pennata,0.9,0.9,0.9,10,9
304,5794,Arum italicum,0.5454545454545454,0.6,0.5714285714285714,10,6
305,5804,Peltandra virginica,0.6666666666666666,0.6,0.631578947368421,10,6
306,5820,Triantha glutinosa,0.8333333333333334,0.5,0.625,10,5
307,5862,Narcissus poeticus,0.6923076923076923,0.9,0.782608695652174,10,9
308,5881,Asparagus officinalis,0.3125,0.5,0.38461538461538464,10,5
309,5925,Ruscus aculeatus,0.5454545454545454,0.6,0.5714285714285714,10,6
310,5930,Triteleia hyacinthina,0.5,0.7,0.5833333333333334,10,7
311,5947,Asphodelus fistulosus,0.5454545454545454,0.6,0.5714285714285714,10,6
312,5967,Iris douglasiana,0.7272727272727273,0.8,0.7619047619047619,10,8
313,5974,Iris sibirica,0.5454545454545454,0.6,0.5714285714285714,10,6
314,5977,Iris versicolor,0.625,0.5,0.5555555555555556,10,5
315,6049,Liparis loeselii,0.4444444444444444,0.4,0.42105263157894735,10,4
316,6054,Neottia nidus-avis,0.6666666666666666,1.0,0.8,10,10
317,6065,Orchis anthropophora,0.875,0.7,0.7777777777777778,10,7
318,6118,Pontederia cordata,0.625,0.5,0.5555555555555556,10,5
319,6126,Gloriosa superba,0.7777777777777778,0.7,0.7368421052631579,10,7
320,6201,Trillium luteum,1.0,0.9,0.9473684210526315,10,9
321,6209,Veratrum viride,0.6923076923076923,0.9,0.782608695652174,10,9
322,6211,Ripogonum scandens,0.0,0.0,0.0,10,0
323,6216,Smilax herbacea,0.3333333333333333,0.2,0.25,10,2
324,6224,Pandanus tectorius,0.6666666666666666,0.8,0.7272727272727273,10,8
325,6227,Tillandsia recurvata,0.6,0.6,0.6,10,6
326,6252,Carex magellanica,0.46153846153846156,0.6,0.5217391304347826,10,6
327,6267,Carex squarrosa,0.6666666666666666,0.6,0.631578947368421,10,6
328,6304,Juncus acutus,0.6666666666666666,0.8,0.7272727272727273,10,8
329,6311,Juncus torreyi,0.7692307692307693,1.0,0.8695652173913043,10,10
330,6396,Microstegium vimineum,0.6,0.6,0.6,10,6
331,6482,Angelica capitellata,0.6363636363636364,0.7,0.6666666666666666,10,7
332,6484,Anthriscus caucalis,0.3,0.3,0.3,10,3
333,6528,Pimpinella saxifraga,0.2857142857142857,0.2,0.23529411764705882,10,2
334,6537,Scandix pecten-veneris,0.625,0.5,0.5555555555555556,10,5
335,6543,Torilis japonica,0.25,0.2,0.2222222222222222,10,2
336,6548,Aralia elata,0.4166666666666667,0.5,0.45454545454545453,10,5
337,6570,Schefflera digitata,0.4444444444444444,0.4,0.42105263157894735,10,4
338,6572,Griselinia littoralis,0.5,0.3,0.375,10,3
339,6592,Achyrachaena mollis,0.6,0.6,0.6,10,6
340,6596,Adenophyllum porophylloides,0.6666666666666666,0.8,0.7272727272727273,10,8
341,6615,Antennaria neglecta,0.5,0.5,0.5,10,5
342,6653,Bellis perennis,0.7777777777777778,0.7,0.7368421052631579,10,7
343,6658,Bidens frondosa,0.45454545454545453,0.5,0.47619047619047616,10,5
344,6669,Carduus acanthoides,0.5833333333333334,0.7,0.6363636363636364,10,7
345,6691,Chaenactis glabriuscula,0.7,0.7,0.7,10,7
346,6735,Cyanthillium cinereum,0.5,0.4,0.4444444444444444,10,4
347,6745,Dittrichia graveolens,0.375,0.3,0.3333333333333333,10,3
348,6755,Elephantopus tomentosus,0.625,0.5,0.5555555555555556,10,5
349,6790,Eupatorium rotundifolium,0.45454545454545453,0.5,0.47619047619047616,10,5
350,6868,Layia glandulosa,0.8888888888888888,0.8,0.8421052631578947,10,8
351,6873,Leptosyne maritima,0.5454545454545454,0.6,0.5714285714285714,10,6
352,6888,Malacothrix saxatilis,0.8,0.8,0.8,10,8
353,6912,Ozothamnus leptophyllus,0.375,0.6,0.46153846153846156,10,6
354,6916,Packera obovata,0.3076923076923077,0.4,0.34782608695652173,10,4
355,6924,Parthenium incanum,0.6923076923076923,0.9,0.782608695652174,10,9
356,6930,Petasites hybridus,0.8888888888888888,0.8,0.8421052631578947,10,8
357,6932,Peucephyllum schottii,0.6428571428571429,0.9,0.75,10,9
358,6939,Pityopsis falcata,0.5,0.7,0.5833333333333334,10,7
359,7007,Solidago speciosa,0.5,0.6,0.5454545454545454,10,6
360,7019,Symphyotrichum cordifolium,0.4,0.4,0.4,10,4
361,7041,Tetraneuris linearifolia,0.6923076923076923,0.9,0.782608695652174,10,9
362,7043,Thelesperma filifolium,1.0,0.8,0.8888888888888888,10,8
363,7062,Verbesina encelioides,0.5,0.5,0.5,10,5
364,7066,Vernonia gigantea,0.8888888888888888,0.8,0.8421052631578947,10,8
365,7119,Scaevola plumieri,0.6666666666666666,0.6,0.631578947368421,10,6
366,7123,Nephrophyllidium crista-galli,0.625,0.5,0.5555555555555556,10,5
367,7144,Eriodictyon crassifolium,0.4444444444444444,0.4,0.42105263157894735,10,4
368,7149,Hackelia virginiana,0.5555555555555556,0.5,0.5263157894736842,10,5
369,7177,Nemophila heterophylla,0.6666666666666666,0.4,0.5,10,4
370,7179,Nemophila menziesii,0.7272727272727273,0.8,0.7619047619047619,10,8
